model,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,roc_auc_ovr
XGBoost Classifier,0.9633069828722003,0.7977816700437804,0.9568288050014168,0.8957091384568687,0.765340284883384,0.9905802686669686
Random Forest Classifier,0.9429183135704875,0.7824436429280581,0.9440474781271978,0.7747399250843122,0.7907824653706538,0.9788818916264145
Logistic Regression,0.9124341238471674,0.6032523553746998,0.8935528996239375,0.6624624647057825,0.6170126499849556,0.9508434006157839
